model,group,Run_1,Run_2,Run_3,n_runs
gemma3_4b,Group_A,1,1,1,3
gemma3_4b,Group_B,1,1,1,3
gemma3_4b,Group_C,1,1,1,3
gemma3_12b,Group_A,1,1,1,3
gemma3_12b,Group_B,1,1,1,3
gemma3_12b,Group_C,1,1,1,3
gemma3_27b,Group_A,1,1,1,3
gemma3_27b,Group_B,1,1,0,2
gemma3_27b,Group_C,1,1,0,2
ministral3_3b,Group_A,1,1,0,2
ministral3_3b,Group_B,1,1,0,2
ministral3_3b,Group_C,1,1,0,2
ministral3_8b,Group_A,1,1,0,2
ministral3_8b,Group_B,1,1,0,2
ministral3_8b,Group_C,1,1,0,2
ministral3_14b,Group_A,1,1,0,2
ministral3_14b,Group_B,1,1,0,2
ministral3_14b,Group_C,1,1,0,2
