Model,Group,Year,Active_Agents,Shannon_Entropy,Shannon_Entropy_Norm,Dominant_Action,Dominant_Freq
gemma3_4b,Group_A,1,100,1.0211,0.4398,DoNothing,0.72
gemma3_4b,Group_A,2,100,1.121,0.4828,DoNothing,0.71
gemma3_4b,Group_A,3,100,1.5532,0.6689,DoNothing,0.61
gemma3_4b,Group_A,4,100,1.7163,0.7392,DoNothing,0.54
gemma3_4b,Group_A,5,100,1.5203,0.6548,DoNothing,0.55
gemma3_4b,Group_A,6,100,1.4208,0.6119,DoNothing,0.6
gemma3_4b,Group_A,7,100,1.1873,0.5113,DoNothing,0.63
gemma3_4b,Group_A,8,100,1.2097,0.521,DoNothing,0.65
gemma3_4b,Group_A,9,99,1.5438,0.6649,DoNothing,0.5657
gemma3_4b,Group_A,10,99,1.406,0.6055,DoNothing,0.5556
gemma3_4b,Group_B,1,100,0.4022,0.1732,DoNothing,0.92
gemma3_4b,Group_B,2,100,0.5574,0.2401,DoNothing,0.87
gemma3_4b,Group_B,3,100,1.4145,0.6092,Elevation,0.54
gemma3_4b,Group_B,4,100,1.764,0.7597,Elevation,0.47
gemma3_4b,Group_B,5,100,1.8583,0.8003,Elevation,0.33
gemma3_4b,Group_B,6,100,1.8286,0.7875,Elevation,0.38
gemma3_4b,Group_B,7,100,1.6435,0.7078,Elevation,0.49
gemma3_4b,Group_B,8,100,1.414,0.609,Elevation,0.58
gemma3_4b,Group_B,9,100,1.2106,0.5214,Elevation,0.63
gemma3_4b,Group_B,10,100,1.3333,0.5742,Elevation,0.59
gemma3_4b,Group_C,1,100,0.8932,0.3847,DoNothing,0.69
gemma3_4b,Group_C,2,100,1.1174,0.4812,Elevation,0.61
gemma3_4b,Group_C,3,100,1.1157,0.4805,Elevation,0.75
gemma3_4b,Group_C,4,100,1.3567,0.5843,Elevation,0.64
gemma3_4b,Group_C,5,100,1.3476,0.5804,Elevation,0.63
gemma3_4b,Group_C,6,100,1.1124,0.4791,Elevation,0.7
gemma3_4b,Group_C,7,100,1.069,0.4604,Elevation,0.71
gemma3_4b,Group_C,8,100,0.8879,0.3824,Elevation,0.74
gemma3_4b,Group_C,9,100,1.4944,0.6436,Elevation,0.45
gemma3_4b,Group_C,10,100,1.1554,0.4976,Elevation,0.54
gemma3_12b,Group_A,1,100,1.3223,0.5695,DoNothing,0.57
gemma3_12b,Group_A,2,100,1.5844,0.6824,DoNothing,0.34
gemma3_12b,Group_A,3,100,1.3375,0.576,Both,0.61
gemma3_12b,Group_A,4,100,0.5252,0.2262,Both,0.91
gemma3_12b,Group_A,5,100,0.1614,0.0695,Both,0.98
gemma3_12b,Group_A,6,100,0.0808,0.0348,Both,0.99
gemma3_12b,Group_A,7,100,0.0808,0.0348,Both,0.99
gemma3_12b,Group_A,8,100,0.0808,0.0348,Both,0.99
gemma3_12b,Group_A,9,100,0.0808,0.0348,Both,0.99
gemma3_12b,Group_A,10,99,0.0,0.0,Both,1.0
gemma3_12b,Group_B,1,100,1.1712,0.5044,Insurance,0.75
gemma3_12b,Group_B,2,100,1.7585,0.7573,Insurance,0.4
gemma3_12b,Group_B,3,100,1.5106,0.6506,Both,0.5
gemma3_12b,Group_B,4,100,0.7457,0.3211,Both,0.85
gemma3_12b,Group_B,5,100,0.4671,0.2012,Both,0.92
gemma3_12b,Group_B,6,100,0.3274,0.141,Both,0.94
gemma3_12b,Group_B,7,100,0.3274,0.141,Both,0.94
gemma3_12b,Group_B,8,100,0.3274,0.141,Both,0.94
gemma3_12b,Group_B,9,100,0.3274,0.141,Both,0.94
gemma3_12b,Group_B,10,100,0.3274,0.141,Both,0.94
gemma3_12b,Group_C,1,100,1.2023,0.5178,DoNothing,0.48
gemma3_12b,Group_C,2,100,1.4506,0.6247,Insurance,0.6
gemma3_12b,Group_C,3,100,1.491,0.6421,Elevation,0.55
gemma3_12b,Group_C,4,100,1.0783,0.4644,Both,0.68
gemma3_12b,Group_C,5,100,0.4818,0.2075,Both,0.91
gemma3_12b,Group_C,6,100,0.1944,0.0837,Both,0.97
gemma3_12b,Group_C,7,100,0.0808,0.0348,Both,0.99
gemma3_12b,Group_C,8,100,0.2423,0.1043,Both,0.96
gemma3_12b,Group_C,9,100,0.0,0.0,Both,1.0
gemma3_12b,Group_C,10,100,0.2864,0.1233,Both,0.95
gemma3_27b,Group_A,1,100,0.7057,0.3039,DoNothing,0.87
gemma3_27b,Group_A,2,100,1.0211,0.4398,DoNothing,0.72
gemma3_27b,Group_A,3,100,1.0521,0.4531,Insurance,0.77
gemma3_27b,Group_A,4,100,1.4214,0.6122,Insurance,0.65
gemma3_27b,Group_A,5,100,1.5366,0.6618,DoNothing,0.55
gemma3_27b,Group_A,6,100,1.2015,0.5174,DoNothing,0.68
gemma3_27b,Group_A,7,100,0.9699,0.4177,DoNothing,0.75
gemma3_27b,Group_A,8,100,0.9255,0.3986,DoNothing,0.76
gemma3_27b,Group_A,9,100,1.6245,0.6996,DoNothing,0.42
gemma3_27b,Group_A,10,100,0.9699,0.4177,DoNothing,0.75
