model,group,n_runs,RR_final_mean_pct,RR_final_sd_pct,EHE_mean,EHE_sd
gemma3_4b,Group_A,3,1.568,0.381,0.456,0.033
gemma3_4b,Group_B,3,0.645,0.441,0.657,0.039
gemma3_4b,Group_C,3,0.889,1.253,0.672,0.042
gemma3_12b,Group_A,3,4.798,0.409,0.098,0.007
gemma3_12b,Group_B,3,0.077,0.067,0.429,0.033
gemma3_12b,Group_C,3,0.034,0.059,0.382,0.045
gemma3_27b,Group_A,3,8.967,1.002,0.567,0.023
gemma3_27b,Group_B,2,0.0,0.0,0.562,0.007
gemma3_27b,Group_C,2,0.0,0.0,0.609,0.016
ministral3_3b,Group_A,3,20.219,3.358,0.197,0.162
ministral3_3b,Group_B,2,0.796,0.929,0.636,0.017
ministral3_3b,Group_C,2,0.065,0.093,0.594,0.046
ministral3_8b,Group_A,2,5.039,1.234,0.62,0.013
ministral3_8b,Group_B,2,0.0,0.0,0.56,0.005
ministral3_8b,Group_C,2,0.0,0.0,0.566,0.021
ministral3_14b,Group_A,2,12.691,0.802,0.101,0.004
ministral3_14b,Group_B,2,0.0,0.0,0.627,0.011
ministral3_14b,Group_C,2,0.0,0.0,0.627,0.018
